ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
1756	ProtoBurmish	ink (Chinese)	*mat	mat⁴	m a t ⁴		386	m a t ⁴	m|m|m|m|m a|a|a|a|a t|t|t|t|ʔ ⁴|⁴|⁴|⁴|⁴
1757	Bola	install	kɔ̱t⁵⁵ kɛ̱ʔ⁵⁵	kɔ̱t⁵⁵+kɛ̱ʔ⁵⁵	k ɔ̱ t ⁵⁵ + k ɛ̱ ʔ ⁵⁵		3464 1612	k ɔ̱ t ⁵⁵ + k ɛ̱ ʔ ⁵⁵	k ɔ̱ t ⁵⁵ + k ɛ̱ ʔ ⁵⁵
1758	Rangoon	interest (financial)	ŋwe²² to⁵⁵	ŋwe²²+to⁵⁵	ŋ w e ²² + t o ⁵⁵		1910 93	ŋ w e ²² + - t o - ⁵⁵	ŋ w e ²² + t o ⁵⁵
1759	AchangLongchuan	interest (financial)	a³¹ tsɔ³¹ pə³¹	a³¹+tsɔ³¹+pə³¹	a ³¹ + ts ɔ ³¹ + p ə ³¹		1911 93 1912	a ³¹ + - ts ɔ - ³¹ + p ə ³¹	a ³¹ + ts ɔ ³¹ + p ə ³¹
1760	OldBurmese	intestine	u	u	u		714	- - u - -	u
1761	Rangoon	intestine	u²²	u²²	u ²²		714	- - u - ²²	u ²²
1762	AchangLongchuan	intestine	a³¹ u⁵⁵	a³¹+u⁵⁵	a ³¹ + u ⁵⁵		3324 1573	a ³¹ + u ⁵⁵	a ³¹ + u ⁵⁵
1763	Atsi	intestine	u⁵¹	u⁵¹	u ⁵¹		714	- - u - ⁵¹	u ⁵¹
1764	Bola	intestine	u⁵⁵	u⁵⁵	u ⁵⁵		717	- u ⁵⁵	u ⁵⁵
1765	Lashi	intestine	u̱³³	u̱³³	u̱ ³³		714	- - u̱ - ³³	u̱ ³³
1766	Maru	intestine	a̱ u³¹	a̱+u³¹	a̱ + u ³¹		714 3325	- - a̱ - - + u ³¹	a̱ + u ³¹
1767	Xiandao	intestine	a³¹ u⁵⁵	a³¹+u⁵⁵	a ³¹ + u ⁵⁵		3326 1574	a ³¹ + u ⁵⁵	a ³¹ + u ⁵⁵
1768	ProtoBurmish	intestine	*ʔʊ	ʔʊ¹	ʔ ʊ ¹		714	- ʔ ʊ - ¹	-|-|-|-|- ʊ|ʊ|ʊ|ʊ|ai -|-|-|-|- ¹|¹|¹|¹|¹
1769	ProtoBurmish	intestine	*ʔu	ʔu¹	ʔ u ¹		717	ʔ u ¹	?ʔ ?u ?¹
1770	Rangoon	iron	tθɑ̃²²	tθɑ̃²²	tθ ɑ̃ ²²		714	- tθ ɑ̃ - ²²	tθ ɑ̃ ²²
1771	AchangLongchuan	iron	ʂam⁵⁵	ʂam⁵⁵	ʂ a m ⁵⁵		713	ʂ a m ⁵⁵	ʂ a m ⁵⁵
1772	Atsi	iron	ʃam⁵¹ to̱ʔ⁵⁵	ʃam⁵¹+to̱ʔ⁵⁵	ʃ a m ⁵¹ + t o̱ ʔ ⁵⁵		714 3327	- ʃ a m ⁵¹ + t o̱ ʔ ⁵⁵	ʃ a m ⁵¹ + t o̱ ʔ ⁵⁵
1773	Bola	iron	ʃɛ̃⁵⁵ ta̱ʔ⁵⁵	ʃɛ̃⁵⁵+ta̱ʔ⁵⁵	ʃ ɛ̃ ⁵⁵ + t a̱ ʔ ⁵⁵		713 3328	ʃ ɛ̃ - ⁵⁵ + t a̱ ʔ ⁵⁵	ʃ ɛ̃ ⁵⁵ + t a̱ ʔ ⁵⁵
1774	Maru	iron	ʃɛ̃³¹ tɔʔ⁵⁵	ʃɛ̃³¹+tɔʔ⁵⁵	ʃ ɛ̃ ³¹ + t ɔ ʔ ⁵⁵		713 3329	ʃ ɛ̃ - ³¹ + t ɔ ʔ ⁵⁵	ʃ ɛ̃ ³¹ + t ɔ ʔ ⁵⁵
1775	Xiandao	iron	ʂam⁵⁵	ʂam⁵⁵	ʂ a m ⁵⁵		714	- ʂ a m ⁵⁵	ʂ a m ⁵⁵
1776	ProtoBurmish	iron	*ʃam	ʃam¹	ʃ a m ¹		713	ʃ a m ¹	ʃ|ʃ|ʃ|ʃ|ʃ a|a|a|a|a m|m|m|m|m ¹|¹|¹|¹|¹
1777	OldBurmese	itch / tickle	yaḥ	jaḥ	j a ḥ/⁵		1204	j a ḥ/⁵	j a ḥ/⁵
1778	Rangoon	itch / tickle	jɑ⁵⁵	jɑ⁵⁵	j ɑ ⁵⁵		1205	j ɑ ⁵⁵	j ɑ ⁵⁵
1779	AchangLongchuan	itch / tickle	jɔ³¹	jɔ³¹	j ɔ ³¹		208	j ɔ - ³¹	j ɔ ³¹
1780	Atsi	itch / tickle	jo²¹	jo²¹	j o ²¹		208	j o - ²¹	j o ²¹
1781	Lashi	itch / tickle	jɔː³³	jɔː³³	j ɔː ³³		1206	j ɔː ³³	j ɔː ³³
1782	Xiandao	itch / tickle	jɔ³¹	jɔ³¹	j ɔ ³¹		208	j ɔ - ³¹	j ɔ ³¹
1783	Maru	jackal	mjaŋ³¹ kha³⁵	mjaŋ³¹+kha³⁵	m j a ŋ ³¹ + kʰ a ³⁵		459 2827	m j a ŋ ³¹ + kʰ a ³⁵	m j a ŋ ³¹ + kʰ a ³⁵
1784	AchangLongchuan	jar (earthen)	ʑam³¹	ʑam³¹	ʑ a m ³¹		214	ʑ a m ³¹	ʑ a m ³¹
1785	Atsi	jar (earthen)	jam²¹	jam²¹	j a m ²¹		214	j a m ²¹	j a m ²¹
1786	Lashi	jar (earthen)	jam³³	jam³³	j a m ³³		214	j a m ³³	j a m ³³
1787	Maru	jar (earthen)	jɛ̃³⁵	jɛ̃³⁵	j ɛ̃ ³⁵		214	j ɛ̃ - ³⁵	j ɛ̃ ³⁵
1788	Xiandao	jar (earthen)	jam³¹	jam³¹	j a m ³¹		214	j a m ³¹	j a m ³¹
1789	AchangLongchuan	joint	lɔʔ⁵⁵ tɔʔ⁵⁵	lɔʔ⁵⁵+tɔʔ⁵⁵	l ɔ ʔ ⁵⁵ + t ɔ ʔ ⁵⁵		334 2514	l ɔ ʔ ⁵⁵ + t ɔ ʔ ⁵⁵	l ɔ ʔ ⁵⁵ + t ɔ ʔ ⁵⁵
1790	Bola	joke / jest	ɣəi⁵⁵ nau⁵⁵ tɔ̃³¹	ɣəi⁵⁵+nau⁵⁵+tɔ̃³¹	ɣ əi ⁵⁵ + n au ⁵⁵ + t ɔ̃ ³¹		1880 1881 1022	ɣ əi ⁵⁵ + n au ⁵⁵ + t ɔ̃ ³¹	ɣ əi ⁵⁵ + n au ⁵⁵ + t ɔ̃ ³¹
1791	Maru	joke / jest	ɣɯ³¹ nuk³¹ tɔ̃³⁵	ɣɯ³¹+nuk³¹+tɔ̃³⁵	ɣ ɯ ³¹ + n u k ³¹ + t ɔ̃ ³⁵		1882 1883 1023	ɣ ɯ ³¹ + n u k ³¹ + t ɔ̃ ³⁵	ɣ ɯ ³¹ + n u k ³¹ + t ɔ̃ ³⁵
1792	Bola	jump	pjɛ̃⁵⁵	pjɛ̃⁵⁵	p j ɛ̃ ⁵⁵		33	p j ɛ̃ - ⁵⁵	p j ɛ̃ ⁵⁵
1793	Lashi	jump	pjaːp³¹	pjaːp³¹	p j aː p ³¹		33	p j aː p ³¹	p j aː p ³¹
1794	Maru	jump	pjɛ̃³¹	pjɛ̃³¹	p j ɛ̃ ³¹		33	p j ɛ̃ - ³¹	p j ɛ̃ ³¹
1795	ProtoBurmish	jump	*bjam	bjam¹	b j a m ¹		33	b j a m ¹	( b j a m ¹ )
1796	Maru	key	jɔ³¹ tʃhi³¹	jɔ³¹+tʃhi³¹	j ɔ ³¹ + tʃʰ i ³¹		1199 2205	j ɔ ³¹ + tʃʰ i ³¹	j ɔ ³¹ + tʃʰ i ³¹
1797	Xiandao	key	jɔ³¹ tʂhɿ⁵⁵	jɔ³¹+tʂhɿ⁵⁵	j ɔ ³¹ + ʈʂʰ ɿ ⁵⁵		206 2206	j ɔ - ³¹ + ʈʂʰ ɿ ⁵⁵	j ɔ ³¹ + ʈʂʰ ɿ ⁵⁵
1798	OldBurmese	kick	kan	kan	k a n		145	k a n -	k a n
1799	Rangoon	kick	kɑ̃²²	kɑ̃²²	k ɑ̃ ²²		1131	k ɑ̃ ²²	k ɑ̃ ²²
1800	Atsi	kick	pik⁵⁵	pik⁵⁵	p i k ⁵⁵		507	p i k ⁵⁵	p i k ⁵⁵
1801	Bola	kick	pa̱k⁵⁵	pa̱k⁵⁵	p a̱ k ⁵⁵		507	p a̱ k ⁵⁵	p a̱ k ⁵⁵
1802	Lashi	kick	pə̱ːk⁵⁵	pə̱ːk⁵⁵	p ə̱ː k ⁵⁵		507	p ə̱ː k ⁵⁵	p ə̱ː k ⁵⁵
1803	Maru	kick	pa̱k⁵⁵	pa̱k⁵⁵	p a̱ k ⁵⁵		507	p a̱ k ⁵⁵	p a̱ k ⁵⁵
1804	ProtoBurmish	kick	*gan	gan¹	g a n ¹		145	g a n ¹	?g ?a ?n ?¹
1805	ProtoBurmish	kick	*ʔpik	ˀpik⁴	ˀp i k ⁴		507	ˀp i k ⁴	b|b|b|b|ˀp i|i|i|i|i k|k|k|k|k ⁴|⁴|⁴|⁴|⁴
1806	AchangLongchuan	kidney	nam³¹ lim⁵⁵	nam³¹+lim⁵⁵	n a m ³¹ + l i m ⁵⁵		471 2914	n a m ³¹ + l i m ⁵⁵	n a m ³¹ + l i m ⁵⁵
1807	Bola	kitchen	ta⁵⁵ tʃa̱ʔ⁵⁵ ja̱m⁵⁵	ta⁵⁵+tʃa̱ʔ⁵⁵+ja̱m⁵⁵	t a ⁵⁵ + tʃ a̱ ʔ ⁵⁵ + j a̱ m ⁵⁵		87 1035 1906	t a - ⁵⁵ + tʃ a̱ ʔ ⁵⁵ + j a̱ m ⁵⁵	t a ⁵⁵ + tʃ a̱ ʔ ⁵⁵ + j a̱ m ⁵⁵
1808	Maru	kitchen	tsɔ³¹ tʃɔ̱ʔ⁵⁵ ja̱m⁵⁵	tsɔ³¹+tʃɔ̱ʔ⁵⁵+ja̱m⁵⁵	ts ɔ ³¹ + tʃ ɔ̱ ʔ ⁵⁵ + j a̱ m ⁵⁵		88 1038 1907	ts ɔ - ³¹ + tʃ ɔ̱ ʔ ⁵⁵ + j a̱ m ⁵⁵	ts ɔ ³¹ + tʃ ɔ̱ ʔ ⁵⁵ + j a̱ m ⁵⁵
1809	Rangoon	kitchen	mi⁵⁵ pho²² tɕhɑ̃u²²	mi⁵⁵+pho²²+tɕhɑ̃u²²	m i ⁵⁵ + pʰ o ²² + tɕʰ ɑ̃u ²²		3235 3236 1536	m i ⁵⁵ + pʰ o ²² + tɕʰ ɑ̃u ²²	m i ⁵⁵ + pʰ o ²² + tɕʰ ɑ̃u ²²
1810	AchangLongchuan	kitchen	xɔ³¹ tsau³⁵	xɔ³¹+tsau³⁵	x ɔ ³¹ + ts au ³⁵		785 637	x ɔ ³¹ + ts au ³⁵	x ɔ ³¹ + ts au ³⁵
1811	Atsi	kitchen	tsaŋ²¹ kai⁵⁵ vap²¹	tsaŋ²¹+kai⁵⁵+vap²¹	ts a ŋ ²¹ + k ai ⁵⁵ + v a p ²¹		3237 1537 3238	ts a ŋ ²¹ + k ai ⁵⁵ + v a p ²¹	ts a ŋ ²¹ + k ai ⁵⁵ + v a p ²¹
1812	Lashi	kitchen	wɔm³³ tʃau⁵³ kok³¹	wɔm³³+tʃau⁵³+kok³¹	w ɔ m ³³ + tʃ au ⁵³ + k o k ³¹		3239 635 3240	w ɔ m ³³ + tʃ - au - ⁵³ + k o k ³¹	w ɔ m ³³ + tʃ au ⁵³ + k o k ³¹
1813	Xiandao	kitchen	cɔ⁵⁵ pʐu⁵⁵ ʐɔ⁵⁵	cɔ⁵⁵+pʐu⁵⁵+ʐɔ⁵⁵	c ɔ ⁵⁵ + p ʐ u ⁵⁵ + ʐ ɔ ⁵⁵		635 3241 3242	c - ɔ - ⁵⁵ + p ʐ u ⁵⁵ + ʐ ɔ ⁵⁵	c ɔ ⁵⁵ + p ʐ u ⁵⁵ + ʐ ɔ ⁵⁵
1814	ProtoBurmish	kitchen	*dzuX	dzu³	dz u ³		637	dz u ³	?dz ?u ?³
1815	AchangLongchuan	kite (black-eared) / hawk	ti³¹ mɔ³¹	ti³¹+mɔ³¹	t i ³¹ + m ɔ ³¹		102 2010	t i ³¹ + m ɔ ³¹	t i ³¹ + m ɔ ³¹
1816	AchangLongchuan	knee	tɕhi⁵⁵ ȵɔʔ⁵⁵	tɕhi⁵⁵+ȵɔʔ⁵⁵	tɕʰ i ⁵⁵ + ȵ ɔ ʔ ⁵⁵		274 2402	tɕʰ i ⁵⁵ + ȵ ɔ ʔ ⁵⁵	tɕʰ i ⁵⁵ + ȵ ɔ ʔ ⁵⁵
1817	Bola	knock / strike	pɛʔ³¹	pɛʔ³¹	p ɛ ʔ ³¹		9	p ɛ ʔ ³¹	p ɛ ʔ ³¹
1818	AchangLongchuan	know	sɑ³⁵	sɑ³⁵	s ɑ ³⁵		877	s ɑ ³⁵	s ɑ ³⁵
1819	Atsi	know	se⁵⁵	se⁵⁵	s e ⁵⁵		877	s e ⁵⁵	s e ⁵⁵
1820	Bola	know	sɛ³⁵	sɛ³⁵	s ɛ ³⁵		877	s ɛ ³⁵	s ɛ ³⁵
1821	Lashi	know	sɛ̱ː⁵³	sɛ̱ː⁵³	s ɛ̱ː ⁵³		877	s ɛ̱ː ⁵³	s ɛ̱ː ⁵³
1822	Maru	know	sɛ⁵⁵	sɛ⁵⁵	s ɛ ⁵⁵		877	s ɛ ⁵⁵	s ɛ ⁵⁵
1823	Xiandao	know	sa³⁵	sa³⁵	s a ³⁵		877	s a ³⁵	s a ³⁵
1824	Rangoon	know (to write)	tɑʔ⁴	tɑʔ⁴	t ɑ ʔ ⁴		67	t ɑ ʔ ⁴	t ɑ ʔ ⁴
1825	AchangLongchuan	know (to write)	tat⁵⁵	tat⁵⁵	t a t ⁵⁵		67	t a t ⁵⁵	t a t ⁵⁵
1826	Atsi	know (to write)	tat²¹	tat²¹	t a t ²¹		67	t a t ²¹	t a t ²¹
1827	Lashi	know (to write)	taːt³¹	taːt³¹	t aː t ³¹		67	t aː t ³¹	t aː t ³¹
1828	Xiandao	know (to write)	tat⁵⁵	tat⁵⁵	t a t ⁵⁵		67	t a t ⁵⁵	t a t ⁵⁵
1829	Bola	know (to write)	sɛ³⁵	sɛ³⁵	s ɛ ³⁵		877	s ɛ ³⁵	s ɛ ³⁵
1830	ProtoBurmish	know (to write)	*dat	dat⁴	d a t ⁴		67	d a t ⁴	( d a t ⁴ )
1831	AchangLongchuan	ladder	tɕam³¹ thək³⁵	tɕam³¹+thək³⁵	tɕ a m ³¹ + tʰ ə k ³⁵		3182 589	tɕ a m ³¹ + - tʰ ə k ³⁵	tɕ a m ³¹ + tʰ ə k ³⁵
1832	Bola	ladder	tsam⁵⁵ thɔ̃⁵⁵	tsam⁵⁵+thɔ̃⁵⁵	ts a m ⁵⁵ + tʰ ɔ̃ ⁵⁵		3183 589	ts a m ⁵⁵ + - tʰ ɔ̃ - ⁵⁵	ts a m ⁵⁵ + tʰ ɔ̃ ⁵⁵
1833	Maru	ladder	tsam³¹ thɔ̃³¹	tsam³¹+thɔ̃³¹	ts a m ³¹ + tʰ ɔ̃ ³¹		3184 589	ts a m ³¹ + - tʰ ɔ̃ - ³¹	ts a m ³¹ + tʰ ɔ̃ ³¹
1834	Xiandao	ladder	cam³¹ thɤk³⁵	cam³¹+thɤk³⁵	c a m ³¹ + tʰ ɤ k ³⁵		3185 589	c a m ³¹ + - tʰ ɤ k ³⁵	c a m ³¹ + tʰ ɤ k ³⁵
1835	Rangoon	lamb	tθo⁵⁵ kɑ⁵³ le⁵⁵	tθo⁵⁵+kɑ⁵³+le⁵⁵	tθ o ⁵⁵ + k ɑ ⁵³ + l e ⁵⁵		1922 93 1923	tθ o ⁵⁵ + - k ɑ - ⁵³ + l e ⁵⁵	tθ o ⁵⁵ + k ɑ ⁵³ + l e ⁵⁵
1836	AchangLongchuan	lamb	paʔ⁵⁵ tsɔ³¹	paʔ⁵⁵+tsɔ³¹	p a ʔ ⁵⁵ + ts ɔ ³¹		1924 93	p a ʔ ⁵⁵ + - ts ɔ - ³¹	p a ʔ ⁵⁵ + ts ɔ ³¹
1837	Atsi	lamb	nam⁵⁵ nu⁵⁵ tso²¹	nam⁵⁵+nu⁵⁵+tso²¹	n a m ⁵⁵ + n u ⁵⁵ + ts o ²¹		1925 1926 1056	n a m ⁵⁵ + n u ⁵⁵ + ts o ²¹	n a m ⁵⁵ + n u ⁵⁵ + ts o ²¹
1838	Xiandao	lamb	paʔ³¹ tsɔ³¹	paʔ³¹+tsɔ³¹	p a ʔ ³¹ + ts ɔ ³¹		1927 93	p a ʔ ³¹ + - ts ɔ - ³¹	p a ʔ ³¹ + ts ɔ ³¹
1839	AchangLongchuan	lame person	tɕhi⁵⁵ kək⁵⁵	tɕhi⁵⁵+kək⁵⁵	tɕʰ i ⁵⁵ + k ə k ⁵⁵		274 2353	tɕʰ i ⁵⁵ + k ə k ⁵⁵	tɕʰ i ⁵⁵ + k ə k ⁵⁵
1840	Atsi	lame person	khji⁵¹ ʒe̱ʔ⁵⁵	khji⁵¹+ʒe̱ʔ⁵⁵	kʰ j i ⁵¹ + ʒ e̱ ʔ ⁵⁵		280 2354	kʰ j i - ⁵¹ + ʒ e̱ ʔ ⁵⁵	kʰ j i ⁵¹ + ʒ e̱ ʔ ⁵⁵
1841	Bola	lame person	khji⁵⁵ ku̱i⁵⁵	khji⁵⁵+ku̱i⁵⁵	kʰ j i ⁵⁵ + k u̱i ⁵⁵		278 2355	kʰ j i - ⁵⁵ + k u̱i ⁵⁵	kʰ j i ⁵⁵ + k u̱i ⁵⁵
1842	Lashi	lame person	khjei³³ kuːi⁵⁵	khjei³³+kuːi⁵⁵	kʰ j ei ³³ + k uːi ⁵⁵		280 2356	kʰ j ei - ³³ + k uːi ⁵⁵	kʰ j ei ³³ + k uːi ⁵⁵
1843	Maru	lame person	khjik³¹ kɔ̱i³¹	khjik³¹+kɔ̱i³¹	kʰ j i k ³¹ + k ɔ̱i ³¹		280 2357	kʰ j i k ³¹ + k ɔ̱i ³¹	kʰ j i k ³¹ + k ɔ̱i ³¹
1844	Xiandao	lame person	chi⁵⁵ kɤk⁵⁵	chi⁵⁵+kɤk⁵⁵	ch/tʃʰ i ⁵⁵ + k ɤ k ⁵⁵		280 2358	ch/tʃʰ - i - ⁵⁵ + k ɤ k ⁵⁵	ch/tʃʰ i ⁵⁵ + k ɤ k ⁵⁵
1845	AchangLongchuan	last year	si³¹ nək⁵⁵	si³¹+nək⁵⁵	s i ³¹ + n ə k ⁵⁵		708 493	s i ³¹ + n ə k ⁵⁵	s i ³¹ + n ə k ⁵⁵
1846	Rangoon	last year	mɑ⁵³ n̥iʔ⁴ kɑ⁵³	mɑ⁵³+n̥iʔ⁴+kɑ⁵³	m ɑ ⁵³ + n̥ i ʔ ⁴ + k ɑ ⁵³		3590 1643 3591	m ɑ ⁵³ + n̥ i ʔ ⁴ + k ɑ ⁵³	m ɑ ⁵³ + n̥ i ʔ ⁴ + k ɑ ⁵³
1847	Atsi	last year	a⁵⁵ ni̱k⁵⁵	a⁵⁵+ni̱k⁵⁵	a ⁵⁵ + n i̱ k ⁵⁵		3592 838	a ⁵⁵ + n - i̱ k ⁵⁵	a ⁵⁵ + n i̱ k ⁵⁵
1848	Bola	last year	a³¹ na̱k⁵⁵	a³¹+na̱k⁵⁵	a ³¹ + n a̱ k ⁵⁵		3593 838	a ³¹ + n - a̱ k ⁵⁵	a ³¹ + n a̱ k ⁵⁵
1849	Lashi	last year	a³¹ nə̱k⁵⁵	a³¹+nə̱k⁵⁵	a ³¹ + n ə̱ k ⁵⁵		3594 838	a ³¹ + n - ə̱ k ⁵⁵	a ³¹ + n ə̱ k ⁵⁵
1850	Maru	last year	a³¹ na̱k⁵⁵	a³¹+na̱k⁵⁵	a ³¹ + n a̱ k ⁵⁵		3595 838	a ³¹ + n - a̱ k ⁵⁵	a ³¹ + n a̱ k ⁵⁵
1851	Xiandao	last year	ɲ̊aŋ³¹ n̥ɤk⁵⁵	ɲ̊aŋ³¹+n̥ɤk⁵⁵	ɲ̊ a ŋ ³¹ + n̥ ɤ k ⁵⁵		3596 1644	ɲ̊ a ŋ ³¹ + n̥ ɤ k ⁵⁵	ɲ̊ a ŋ ³¹ + n̥ ɤ k ⁵⁵
1852	OldBurmese	late	no₂k kyaʔ	nOk+kjaʔ	n o₂/ɔ k + k j a ʔ		2149 170	n o₂/ɔ k + k j a ʔ -	n o₂/ɔ k + k j a ʔ
1853	Rangoon	late	nɑuʔ⁴ tɕɑ⁵³	nɑuʔ⁴+tɕɑ⁵³	n ɑu ʔ ⁴ + tɕ ɑ ⁵³		2150 170	n ɑu ʔ ⁴ + tɕ - ɑ - ⁵³	n ɑu ʔ ⁴ + tɕ ɑ ⁵³
1854	Atsi	late	thaŋ⁵¹ kjo⁵⁵	thaŋ⁵¹+kjo⁵⁵	tʰ a ŋ ⁵¹ + k j o ⁵⁵		170 589	tʰ - a ŋ ⁵¹ + k j o - ⁵⁵	tʰ a ŋ ⁵¹ + k j o ⁵⁵
1855	Bola	late	thɔ̃⁵⁵ kja³⁵	thɔ̃⁵⁵+kja³⁵	tʰ ɔ̃ ⁵⁵ + k j a ³⁵		1173 589	tʰ ɔ̃ ⁵⁵ + k j a - ³⁵	tʰ ɔ̃ ⁵⁵ + k j a ³⁵
1856	Maru	late	kjam³¹	kjam³¹	k j a m ³¹		171	k j a m ³¹	k j a m ³¹
1857	Xiandao	late	kɯm⁵⁵	kɯm⁵⁵	k ɯ m ⁵⁵		170	k - ɯ m ⁵⁵	k ɯ m ⁵⁵
1858	AchangLongchuan	late	l̥ɔ³¹	l̥ɔ³¹	l̥ ɔ ³¹		817	l̥ ɔ ³¹	l̥ ɔ ³¹
1859	ProtoBurmish	late	*gjaX	gja³	g j a ³		170	g j a - ³	( g j a ³ )
1860	ProtoBurmish	late	*gjum	gjum¹	g j u m ¹		171	g j u m ¹	?g ?j ?u ?m ?¹
1861	Rangoon	leader in a (stockaded) village	jwɑ²² tθu²² tɕi⁵⁵	jwɑ²²+tθu²²+tɕi⁵⁵	j w ɑ ²² + tθ u ²² + tɕ i ⁵⁵		337 3260 3261	j w ɑ ²² + tθ u ²² + tɕ i ⁵⁵	j w ɑ ²² + tθ u ²² + tɕ i ⁵⁵
1862	Bola	leader in a (stockaded) village	va⁵⁵ tau³¹	va⁵⁵+tau³¹	v a ⁵⁵ + t au ³¹		337 3262	- v a ⁵⁵ + t au ³¹	v a ⁵⁵ + t au ³¹
1863	Lashi	leader in a (stockaded) village	wo³¹ tsou³³	wo³¹+tsou³³	w o ³¹ + ts ou ³³		337 3263	- w o ³¹ + ts ou ³³	w o ³¹ + ts ou ³³
1864	Maru	leaf	phɔʔ⁵⁵	phɔʔ⁵⁵	pʰ ɔ ʔ ⁵⁵		504	pʰ - ɔ ʔ ⁵⁵	pʰ ɔ ʔ ⁵⁵
1865	Bola	leaf	sak⁵⁵ faʔ⁵⁵	sak⁵⁵+faʔ⁵⁵	s a k ⁵⁵ + f a ʔ ⁵⁵		547 3103	s a k ⁵⁵ + f a ʔ ⁵⁵	s a k ⁵⁵ + f a ʔ ⁵⁵
1866	OldBurmese	learn	ca saṅ	ca+saṅ	c a + s a ṅ/ŋ		88 1908	c a - - + s a ṅ/ŋ	c a + s a ṅ/ŋ
1867	OldBurmese	left	lak wayḥ	lak+waiḥ	l a k + w ai ḥ/⁵		334 2591	l a k - + w ai ḥ/⁵	l a k + w ai ḥ/⁵
1868	AchangLongchuan	left	lɔʔ³¹ nam³¹ pa³¹	lɔʔ³¹+nam³¹+pa³¹	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹		334 1334 2592	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹
1869	Atsi	left	loʔ³¹ pa̱i²¹	loʔ³¹+pa̱i²¹	l o ʔ ³¹ + p a̱i ²¹		334 2593	l o ʔ ³¹ + p a̱i ²¹	l o ʔ ³¹ + p a̱i ²¹
1870	Bola	left	laʔ³¹ ka̱uŋ³⁵	laʔ³¹+ka̱uŋ³⁵	l a ʔ ³¹ + k a̱u ŋ ³⁵		334 2594	l a ʔ ³¹ + k a̱u ŋ ³⁵	l a ʔ ³¹ + k a̱u ŋ ³⁵
1871	Lashi	left	lɔʔ³¹ pe̱i⁵⁵	lɔʔ³¹+pe̱i⁵⁵	l ɔ ʔ ³¹ + p e̱i ⁵⁵		334 2595	l ɔ ʔ ³¹ + p e̱i ⁵⁵	l ɔ ʔ ³¹ + p e̱i ⁵⁵
1872	Maru	left	lɔʔ³¹ ka̱uŋ³⁵	lɔʔ³¹+ka̱uŋ³⁵	l ɔ ʔ ³¹ + k a̱u ŋ ³⁵		334 2596	l ɔ ʔ ³¹ + k a̱u ŋ ³⁵	l ɔ ʔ ³¹ + k a̱u ŋ ³⁵
1873	Xiandao	left	lɔʔ⁵⁵ xa⁵⁵	lɔʔ⁵⁵+xa⁵⁵	l ɔ ʔ ⁵⁵ + x a ⁵⁵		334 2597	l ɔ ʔ ⁵⁵ + x a ⁵⁵	l ɔ ʔ ⁵⁵ + x a ⁵⁵
1874	Rangoon	left over, be / remain	tɕɑ̃²²	tɕɑ̃²²	tɕ ɑ̃ ²²		1515	tɕ ɑ̃ ²²	tɕ ɑ̃ ²²
1875	Bola	left over, be / remain	thɔ̃⁵⁵	thɔ̃⁵⁵	tʰ ɔ̃ ⁵⁵		1516	tʰ ɔ̃ ⁵⁵	tʰ ɔ̃ ⁵⁵
1876	AchangLongchuan	leopard / panther	lɔ³¹	lɔ³¹	l ɔ ³¹		1300	l ɔ ³¹	l ɔ ³¹
1877	Atsi	leopard / panther	lo²¹	lo²¹	l o ²¹		1301	l o ²¹	l o ²¹
1878	Bola	leopard / panther	la³¹	la³¹	l a ³¹		1302	l a ³¹	l a ³¹
1879	Maru	leopard / panther	lɔ³⁵	lɔ³⁵	l ɔ ³⁵		1303	l ɔ ³⁵	l ɔ ³⁵
1880	Xiandao	leopard / panther	lɔ³¹	lɔ³¹	l ɔ ³¹		1304	l ɔ ³¹	l ɔ ³¹
1881	Bola	let s.b. see / show	u³⁵ nɔ̱̃⁵⁵	u³⁵+nɔ̱̃⁵⁵	u ³⁵ + n ɔ̱̃ ⁵⁵		3586 837	u ³⁵ + n ɔ̱̃ - ⁵⁵	u ³⁵ + n ɔ̱̃ ⁵⁵
1882	AchangLongchuan	level / flat	tɕaŋ³¹	tɕaŋ³¹	tɕ a ŋ ³¹		61	tɕ a ŋ ³¹	tɕ a ŋ ³¹
1883	Bola	level / flat	tɛ̃⁵⁵	tɛ̃⁵⁵	t ɛ̃ ⁵⁵		61	t ɛ̃ - ⁵⁵	t ɛ̃ ⁵⁵
1884	Lashi	level / flat	taːm³¹	taːm³¹	t aː m ³¹		61	t aː m ³¹	t aː m ³¹
1885	Maru	level / flat	tɛ̃³¹	tɛ̃³¹	t ɛ̃ ³¹		61	t ɛ̃ - ³¹	t ɛ̃ ³¹
1886	Xiandao	level / flat	tʂaŋ³¹	tʂaŋ³¹	ʈʂ a ŋ ³¹		61	ʈʂ a ŋ ³¹	ʈʂ a ŋ ³¹
1887	ProtoBurmish	level / flat	*dam	dam¹	d a m ¹		61	d a m ¹	d|d|d|d|d a|a|a|a|a ŋ|ŋ|ŋ|ŋ|n ¹|¹|¹|¹|¹
